month,customer_id,region,recognised_usd_cents,orders_recognised
2024-01-01,1,APAC,35840,5
2024-01-01,13,APAC,19203,4
2024-01-01,16,APAC,85047,3
2024-01-01,21,NA,96029,1
2024-01-01,24,EMEA,28299,1
2024-01-01,25,NA,100504,4
2024-01-01,26,EMEA,114982,2
2024-01-01,28,UNKNOWN,66761,2
2024-02-01,2,APAC,63063,4
2024-02-01,17,NA,180,1
2024-02-01,27,UNKNOWN,100030,1
2024-03-01,6,NA,141103,2
2024-03-01,7,APAC,2309,1
2024-03-01,11,EMEA,74079,1
2024-03-01,12,NA,26505,1
2024-03-01,14,NA,41673,1
2024-03-01,19,EMEA,60593,1
2024-03-01,26,EMEA,20412,1
2024-03-01,29,UNKNOWN,72446,2
2024-04-01,2,APAC,75388,1
2024-04-01,9,APAC,53307,2
2024-04-01,15,NA,11140,1
2024-04-01,22,NA,97612,3
2024-04-01,26,EMEA,47665,1
2024-04-01,28,UNKNOWN,70836,1
2024-05-01,10,EMEA,16779,1
2024-05-01,18,EMEA,56936,2
2024-05-01,20,NA,62914,1
2024-06-01,9,APAC,67392,2
