currency,day,rate_to_usd
USD,2024-01-01,0.99629
USD,2024-01-02,1.00392
USD,2024-01-03,1.00015
USD,2024-01-04,1.0025
USD,2024-01-05,1.0074
USD,2024-01-06,1.00798
USD,2024-01-07,1.00949
USD,2024-01-08,0.9912
USD,2024-01-09,0.99483
USD,2024-01-10,0.99798
USD,2024-01-11,0.99182
USD,2024-01-12,1.007
USD,2024-01-13,0.99865
USD,2024-01-14,1.00304
USD,2024-01-15,1.00382
USD,2024-01-16,1.00434
USD,2024-01-17,0.99923
USD,2024-01-18,0.99191
USD,2024-01-19,1.00504
USD,2024-01-20,1.00019
USD,2024-01-21,1.00049
USD,2024-01-22,1.00588
USD,2024-01-23,1.00872
USD,2024-01-24,1.0067
USD,2024-01-25,1.0077
USD,2024-01-26,0.99475
USD,2024-01-27,0.99001
USD,2024-01-28,0.99703
USD,2024-01-29,0.99097
USD,2024-01-30,1.00542
USD,2024-01-31,0.99603
USD,2024-02-01,0.99682
USD,2024-02-02,1.00113
USD,2024-02-03,1.00305
USD,2024-02-04,1.00419
USD,2024-02-05,1.00656
USD,2024-02-06,1.00299
USD,2024-02-07,0.99616
USD,2024-02-08,1.00056
USD,2024-02-09,0.99257
USD,2024-02-10,0.99429
USD,2024-02-11,1.00312
USD,2024-02-12,1.00773
USD,2024-02-13,0.99812
USD,2024-02-14,1.00016
USD,2024-02-15,0.99639
USD,2024-02-16,0.99785
USD,2024-02-17,1.0035
USD,2024-02-18,1.00481
USD,2024-02-19,1.00197
USD,2024-02-20,0.99773
USD,2024-02-21,1.00804
USD,2024-02-22,0.99269
USD,2024-02-23,0.9975
USD,2024-02-24,0.99223
USD,2024-02-25,1.00217
USD,2024-02-26,1.00552
USD,2024-02-27,0.99435
USD,2024-02-28,0.99445
USD,2024-02-29,1.0019
USD,2024-03-01,0.99749
USD,2024-03-02,1.00114
USD,2024-03-03,1.00007
USD,2024-03-04,1.00167
USD,2024-03-05,1.00557
USD,2024-03-06,1.00375
USD,2024-03-07,1.00506
USD,2024-03-08,0.99239
USD,2024-03-09,0.99353
USD,2024-03-10,0.99196
USD,2024-03-11,1.00417
USD,2024-03-12,1.0062
USD,2024-03-13,1.00315
USD,2024-03-14,0.99385
USD,2024-03-15,0.99564
USD,2024-03-16,0.99127
USD,2024-03-17,0.9984
USD,2024-03-18,0.99804
USD,2024-03-19,0.99417
USD,2024-03-20,1.0029
USD,2024-03-21,1.0019
USD,2024-03-22,0.99896
USD,2024-03-23,0.99902
USD,2024-03-24,0.9945
USD,2024-03-25,1.00916
USD,2024-03-26,0.99173
USD,2024-03-27,0.9955
USD,2024-03-28,0.99555
USD,2024-03-29,1.00426
USD,2024-03-30,0.99509
USD,2024-03-31,0.99206
USD,2024-04-01,0.99991
USD,2024-04-02,0.99706
USD,2024-04-03,0.9956
USD,2024-04-04,1.00911
USD,2024-04-05,1.00624
USD,2024-04-06,1.00225
USD,2024-04-07,1.00116
USD,2024-04-08,0.99464
USD,2024-04-09,0.99918
USD,2024-04-10,1.00643
USD,2024-04-11,0.99421
USD,2024-04-12,1.0084
USD,2024-04-13,0.99967
USD,2024-04-14,0.99439
USD,2024-04-15,0.99084
USD,2024-04-16,0.99511
USD,2024-04-17,0.99454
USD,2024-04-18,1.00778
USD,2024-04-19,1.00119
USD,2024-04-20,1.00846
USD,2024-04-21,1.00329
USD,2024-04-22,1.00161
USD,2024-04-23,1.00905
USD,2024-04-24,1.00699
USD,2024-04-25,1.00083
USD,2024-04-26,0.99131
USD,2024-04-27,1.0084
USD,2024-04-28,0.99448
USD,2024-04-29,1.00444
USD,2024-04-30,1.00919
USD,2024-05-01,1.0049
USD,2024-05-02,1.00075
USD,2024-05-03,0.99653
USD,2024-05-04,1.00171
USD,2024-05-05,0.99664
USD,2024-05-06,0.99678
USD,2024-05-07,0.99209
USD,2024-05-08,1.00524
USD,2024-05-09,0.99531
USD,2024-05-10,1.00342
USD,2024-05-11,1.00974
USD,2024-05-12,1.00658
USD,2024-05-13,0.9986
USD,2024-05-14,0.99567
USD,2024-05-15,1.00116
USD,2024-05-16,1.00705
USD,2024-05-17,1.00602
USD,2024-05-18,0.99268
USD,2024-05-19,0.99938
USD,2024-05-20,1.0034
USD,2024-05-21,0.99244
USD,2024-05-22,1.00916
USD,2024-05-23,1.00974
USD,2024-05-24,1.00375
USD,2024-05-25,0.99373
USD,2024-05-26,0.99113
USD,2024-05-27,0.99361
USD,2024-05-28,0.99081
USD,2024-05-29,1.00395
USD,2024-05-30,0.99601
USD,2024-05-31,0.99462
USD,2024-06-01,0.99412
USD,2024-06-02,1.00938
USD,2024-06-03,1.00037
USD,2024-06-04,0.99673
USD,2024-06-05,1.0072
USD,2024-06-06,1.00294
USD,2024-06-07,1.00143
USD,2024-06-08,1.00039
USD,2024-06-09,0.9923
USD,2024-06-10,1.00203
USD,2024-06-11,1.00423
USD,2024-06-12,0.99162
USD,2024-06-13,0.99794
USD,2024-06-14,0.99455
USD,2024-06-15,0.99894
USD,2024-06-16,0.99525
USD,2024-06-17,1.00502
USD,2024-06-18,1.00933
USD,2024-06-19,1.00224
USD,2024-06-20,0.99118
USD,2024-06-21,1.00012
USD,2024-06-22,0.99713
USD,2024-06-23,0.99579
USD,2024-06-24,1.00871
USD,2024-06-25,1.00784
USD,2024-06-26,1.00519
USD,2024-06-27,0.99531
USD,2024-06-28,0.99598
USD,2024-06-29,0.99851
USD,2024-06-30,0.99934
USD,2024-07-01,1.00098
USD,2024-07-02,1.00197
USD,2024-07-03,1.00862
USD,2024-07-04,0.99252
USD,2024-07-05,0.99135
USD,2024-07-06,0.995
USD,2024-07-07,1.00287
USD,2024-07-08,0.9959
