payment_id,customer_id,paid_at,amount_cents,currency,method
9000,28,2024-04-27 20:00:00,122374,EUR,ach
9001,16,2024-01-24 02:00:00,14670,GBP,card
9002,24,2024-03-20 08:00:00,71775,JPY,wire
9003,21,2024-02-06 22:00:00,44378,EUR,wire
9004,5,2024-01-11 15:00:00,111295,USD,ach
9005,3,2024-02-13 11:00:00,30375,USD,card
9006,24,2024-06-27 02:00:00,19391,JPY,card
9007,16,2024-04-03 11:00:00,77487,USD,ach
9008,21,2024-05-24 11:00:00,30129,GBP,card
9009,19,2024-01-18 14:00:00,35141,GBP,wire
9010,23,2024-03-12 07:00:00,134370,GBP,wire
9011,3,2024-01-31 12:00:00,87352,GBP,card
9012,26,2024-03-11 07:00:00,69075,GBP,wire
9013,4,2024-04-18 08:00:00,128043,GBP,card
9014,14,2024-03-17 16:00:00,51880,JPY,card
9015,22,2024-05-07 03:00:00,70446,EUR,wire
9016,14,2024-03-30 08:00:00,37426,JPY,ach
9017,14,2024-02-18 16:00:00,65485,EUR,wire
9018,21,2024-03-15 08:00:00,63975,USD,card
9019,14,2024-06-22 10:00:00,74841,JPY,wire
9020,28,2024-01-16 14:00:00,21335,JPY,ach
9021,14,2024-04-06 01:00:00,799,GBP,wire
9022,26,2024-01-07 10:00:00,137803,JPY,card
9023,29,2024-06-03 11:00:00,9084,GBP,card
9024,15,2024-01-01 01:00:00,84534,JPY,ach
9025,23,2024-01-04 07:00:00,20362,EUR,card
9026,23,2024-06-02 16:00:00,134780,EUR,wire
9027,24,2024-04-15 22:00:00,89297,JPY,card
9028,15,2024-03-07 21:00:00,10853,EUR,card
9029,23,2024-03-11 12:00:00,11975,USD,card
9030,16,2024-05-31 19:00:00,53756,JPY,ach
9031,13,2024-02-10 15:00:00,124794,EUR,ach
9032,9,2024-04-02 05:00:00,23367,USD,ach
9033,13,2024-05-25 00:00:00,107427,EUR,ach
9034,29,2024-02-21 14:00:00,73905,JPY,card
9035,16,2024-01-23 03:00:00,47100,USD,wire
9036,21,2024-03-10 17:00:00,146529,GBP,card
9037,27,2024-03-01 01:00:00,78645,USD,wire
9038,12,2024-05-14 01:00:00,105042,EUR,card
9039,20,2024-05-12 05:00:00,106845,JPY,ach
9040,21,2024-06-19 15:00:00,40220,JPY,card
9041,29,2024-03-28 14:00:00,48330,USD,wire
9042,2,2024-06-30 11:00:00,12155,USD,card
9043,5,2024-04-22 23:00:00,7237,GBP,card
9044,13,2024-03-26 17:00:00,126409,USD,wire
9045,6,2024-06-16 07:00:00,15150,GBP,wire
9046,19,2024-04-26 01:00:00,116373,GBP,card
9047,26,2024-01-25 00:00:00,121175,USD,wire
9048,5,2024-01-29 15:00:00,76331,GBP,wire
9049,14,2024-06-01 05:00:00,3780,USD,card
9050,14,2024-02-28 09:00:00,103979,EUR,wire
9051,9,2024-05-22 16:00:00,79107,JPY,ach
9052,10,2024-01-08 18:00:00,74292,USD,card
9053,10,2024-02-01 01:00:00,128581,GBP,ach
9054,17,2024-04-19 15:00:00,15539,GBP,card
9055,26,2024-04-30 05:00:00,137507,GBP,wire
9056,12,2024-03-09 11:00:00,35958,JPY,wire
9057,20,2024-01-17 23:00:00,150232,EUR,wire
9058,5,2024-05-13 14:00:00,149366,USD,ach
9059,8,2024-04-08 01:00:00,9201,GBP,wire
9060,7,2024-05-16 22:00:00,150163,GBP,ach
9061,2,2024-02-23 18:00:00,135357,JPY,ach
9062,13,2024-06-30 20:00:00,13049,GBP,wire
9063,15,2024-03-01 01:00:00,30898,JPY,card
9064,29,2024-06-26 02:00:00,128994,USD,card
9065,13,2024-04-08 04:00:00,41263,GBP,card
9066,16,2024-01-18 07:00:00,24129,JPY,ach
9067,22,2024-03-05 07:00:00,19225,EUR,card
9068,7,2024-02-14 01:00:00,39201,USD,ach
9069,11,2024-06-13 15:00:00,136081,GBP,ach
