customer_id,region,tier,signed_up_at
1,APAC,standard,2024-01-09
2,NA,plus,2024-01-18
3,NA,standard,2024-04-22
4,EMEA,plus,2024-03-03
5,APAC,standard,2024-04-19
6,NA,standard,2024-03-06
7,EMEA,plus,2024-02-29
8,NA,standard,2024-02-27
9,APAC,plus,2024-01-27
10,EMEA,plus,2024-02-26
11,APAC,internal,2024-04-12
12,APAC,standard,2024-01-12
13,NA,plus,2024-02-08
14,EMEA,standard,2024-02-26
15,APAC,internal,2024-03-10
16,APAC,standard,2024-04-12
17,EMEA,standard,2024-01-21
18,EMEA,standard,2024-01-23
19,APAC,standard,2024-01-19
20,APAC,standard,2024-04-17
21,NA,plus,2024-04-01
22,NA,plus,2024-04-13
23,EMEA,plus,2024-02-05
24,APAC,standard,2024-04-28
