order_id,customer_id,placed_at,amount_cents,currency,status
1000,6,2024-05-27 21:14:00,9178,USD,void
1001,15,2024-05-17 05:16:00,87933,GBP,paid
1002,16,2024-04-16 23:20:00,18344,EUR,pending
1003,8,2024-04-26 05:23:00,44742,EUR,pending
1003,8,2024-04-27 08:23:00,44554,EUR,pending
1004,8,2024-02-25 22:38:00,15449,USD,void
1005,6,2024-05-21 07:19:00,56885,USD,paid
1006,18,2024-01-25 19:26:00,-29983,GBP,void
1007,17,2024-02-06 20:12:00,25364,EUR,void
1008,3,2024-02-11 16:55:00,56028,GBP,paid
1009,19,2024-01-24 02:00:00,13242,JPY,paid
1010,19,2024-04-04 18:12:00,62367,EUR,paid
1011,15,2024-01-21 01:26:00,40451,JPY,paid
1012,5,2024-05-12 02:24:00,-60233,GBP,settled
1013,18,2024-06-17 05:46:00,53764,EUR,pending
1013,18,2024-06-18 02:46:00,53709,EUR,pending
1014,1,2024-04-22 13:04:00,62557,USD,settled
1015,12,2024-02-11 14:05:00,69545,USD,paid
1016,1,2024-03-24 10:59:00,12553,GBP,paid
1017,1,2024-03-27 07:41:00,71664,USD,void
1018,22,2024-03-08 07:35:00,82149,USD,pending
1019,20,2024-02-28 06:16:00,30405,EUR,void
1020,17,2024-03-18 20:11:00,32890,EUR,paid
1021,20,2024-06-26 06:01:00,76917,USD,void
1021,20,2024-06-28 03:01:00,76841,USD,void
1022,9,2024-03-25 08:25:00,54285,EUR,void
1022,9,2024-03-26 19:25:00,53815,EUR,void
1023,13,2024-03-05 19:57:00,84977,EUR,paid
1024,15,2024-06-28 16:29:00,52424,EUR,pending
1025,14,2024-05-09 15:53:00,78957,JPY,paid
1026,9,2024-04-02 00:23:00,52789,EUR,pending
1027,17,2024-02-13 02:34:00,88773,GBP,pending
1028,19,2024-02-25 22:13:00,84336,EUR,settled
1029,1,2024-04-25 13:51:00,35490,USD,paid
1030,17,2024-01-07 18:05:00,44423,GBP,settled
1031,11,2024-05-18 08:10:00,30509,GBP,paid
1032,8,2024-06-03 17:53:00,34065,GBP,paid
1033,11,2024-05-15 12:07:00,34177,JPY,paid
1034,8,2024-06-06 11:20:00,88418,JPY,paid
1035,10,2024-04-23 10:18:00,15630,JPY,paid
1036,1,2024-03-10 12:08:00,40792,JPY,settled
1037,9,2024-02-09 23:48:00,83067,GBP,void
1038,7,2024-05-11 16:35:00,46642,USD,void
1039,14,2024-05-17 22:34:00,33332,GBP,void
1040,14,2024-03-30 14:55:00,84441,EUR,paid
1041,2,2024-04-28 14:30:00,42007,GBP,pending
1042,19,2024-03-28 16:42:00,21174,EUR,settled
1043,6,2024-03-11 14:06:00,43733,JPY,paid
1044,9,2024-03-25 13:14:00,71131,GBP,void
1045,1,2024-01-01 06:01:00,78672,GBP,paid
1046,5,2024-04-12 21:21:00,21047,GBP,paid
1047,8,2024-04-01 21:24:00,21861,JPY,void
1047,8,2024-04-03 13:24:00,21495,JPY,void
1048,15,2024-06-03 16:33:00,19479,JPY,pending
1049,3,2024-04-12 00:09:00,16427,USD,settled
1050,15,2024-04-27 07:19:00,73285,GBP,settled
1051,11,2024-04-21 03:26:00,2918,USD,paid
1052,19,2024-03-27 14:05:00,48726,USD,pending
1053,10,2024-01-04 10:26:00,15885,JPY,paid
1054,17,2024-03-12 08:15:00,86165,JPY,settled
1055,3,2024-03-06 04:52:00,45006,EUR,paid
1056,18,2024-02-11 03:26:00,23238,GBP,settled
1057,16,2024-04-02 08:24:00,67291,GBP,settled
1058,8,2024-05-16 01:05:00,82996,USD,void
1059,14,2024-01-31 23:41:00,27825,EUR,paid
1060,10,2024-01-24 04:49:00,45766,GBP,pending
1061,10,2024-01-26 20:26:00,20768,EUR,paid
1062,9,2024-02-01 09:59:00,70444,USD,void
1063,15,2024-05-01 12:34:00,61405,GBP,paid
1064,22,2024-05-03 18:23:00,78283,GBP,paid
1065,5,2024-01-27 08:43:00,2325,JPY,paid
1066,18,2024-05-28 02:13:00,68688,USD,settled
1067,9,2024-04-25 07:23:00,10823,USD,paid
1068,11,2024-02-29 14:01:00,51704,EUR,void
1068,11,2024-03-01 10:01:00,51478,EUR,void
1069,4,2024-02-21 21:11:00,13189,JPY,void
1070,15,2024-02-10 16:24:00,8703,USD,paid
1071,1,2024-06-01 14:13:00,73224,USD,paid
1072,14,2024-01-16 01:22:00,77790,USD,void
1073,7,2024-02-09 01:52:00,60488,USD,paid
1074,13,2024-06-01 22:27:00,47490,USD,pending
1075,4,2024-04-22 16:03:00,67199,USD,void
1076,14,2024-02-27 00:52:00,17419,USD,void
1077,14,2024-04-30 10:36:00,28317,GBP,pending
1078,7,2024-02-10 13:48:00,3203,GBP,void
1079,17,2024-04-15 02:48:00,65384,GBP,paid
