refund_id,order_id,refunded_at,amount_cents
5000,1003,2024-04-19 20:51:00,13407
5001,1009,2024-05-22 11:25:00,47461
5002,1013,2024-03-01 18:53:00,63679
5003,1023,2024-05-09 21:32:00,31534
5004,1030,2024-06-11 16:27:00,86981
5005,1035,2024-04-30 01:45:00,60472
5006,1036,2024-07-01 23:12:00,14436
5007,1038,2024-04-14 22:22:00,18185
5008,1041,2024-03-25 00:37:00,10377
5009,1044,2024-07-26 01:45:00,62602
5010,1047,2024-03-11 07:00:00,17991
5011,1048,2024-06-15 22:20:00,24153
5012,1055,2024-05-12 20:12:00,18363
5013,1056,2024-03-17 23:07:00,25746
5014,1060,2024-05-27 21:57:00,2333
5015,1064,2024-07-27 06:44:00,2555
5016,1065,2024-05-19 03:50:00,59210
5017,1067,2024-03-18 03:20:00,72678
5018,1075,2024-05-01 17:17:00,77399
5019,1084,2024-03-04 02:12:00,9232
5020,1085,2024-06-26 05:51:00,75306
5021,1091,2024-05-27 19:20:00,19166
5022,1093,2024-07-12 20:03:00,7480
5023,1109,2024-05-12 03:44:00,14619
5024,1113,2024-04-20 03:53:00,24972
5025,1118,2024-05-07 01:10:00,35334
5026,1119,2024-05-04 06:06:00,42637
