month,customer_id,region,net_usd_cents
2024-01-01,2,EMEA,47921
2024-01-01,6,EMEA,161682
2024-01-01,7,APAC,16581
2024-01-01,8,NA,21250
2024-01-01,9,NA,65205
2024-01-01,14,APAC,87693
2024-01-01,19,EMEA,191
2024-01-01,21,APAC,111889
2024-01-01,22,NA,94411
2024-01-01,24,EMEA,13691
2024-01-01,26,EMEA,71949
2024-01-01,27,UNKNOWN,64656
2024-02-01,1,APAC,85346
2024-02-01,11,APAC,27621
2024-02-01,14,APAC,161110
2024-02-01,18,NA,24821
2024-02-01,20,NA,20077
2024-02-01,27,UNKNOWN,45463
2024-02-01,28,UNKNOWN,7797
2024-03-01,1,APAC,408
2024-03-01,4,APAC,45641
2024-03-01,6,EMEA,48889
2024-03-01,8,NA,5960
2024-03-01,11,APAC,213928
2024-03-01,12,EMEA,60535
2024-03-01,15,NA,14937
2024-03-01,21,APAC,38391
2024-03-01,23,NA,71738
2024-03-01,24,EMEA,55522
2024-03-01,26,EMEA,55764
2024-03-01,27,UNKNOWN,6771
2024-03-01,29,UNKNOWN,60738
2024-04-01,4,APAC,475
2024-04-01,7,APAC,104228
2024-04-01,13,EMEA,54038
2024-04-01,14,APAC,99976
2024-04-01,16,NA,275
2024-04-01,18,NA,240
2024-04-01,19,EMEA,11797
2024-04-01,23,NA,64158
2024-04-01,24,EMEA,114885
2024-04-01,26,EMEA,68747
2024-05-01,4,APAC,113376
2024-05-01,6,EMEA,5
2024-05-01,8,NA,464
2024-05-01,12,EMEA,49276
2024-05-01,13,EMEA,28
2024-05-01,14,APAC,4711
2024-05-01,15,NA,2259
2024-05-01,18,NA,100608
2024-05-01,21,APAC,27486
2024-05-01,26,EMEA,50
2024-06-01,2,EMEA,358
2024-06-01,4,APAC,11250
2024-06-01,6,EMEA,77863
2024-06-01,8,NA,58377
2024-06-01,9,NA,83267
2024-06-01,11,APAC,54
2024-06-01,12,EMEA,6611
2024-06-01,13,EMEA,176525
2024-06-01,17,NA,74487
2024-06-01,18,NA,37339
2024-06-01,20,NA,103419
2024-06-01,21,APAC,12842
2024-06-01,29,UNKNOWN,75605
